;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M07;2018M08;2018M09;2018M10;2018M11;2018M12;2019M01;2019M02;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M02;2020M03;2020M04;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2014M01-I;2014M02-I;2014M03-I;2014M04-I;2014M05-I;2014M06-I;2014M07-I;2014M08-I;2014M09-I;2014M10-I;2014M11-I;2014M12-I;2015M01-I;2015M02-I;2015M03-I;2015M04-I;2015M05-I;2015M06-I;2015M07-I;2015M08-I;2015M09-I;2015M10-I;2015M11-I;2015M12-I;2016M01-I;2016M02-I;2016M03-I;2016M04-I;2016M05-I;2016M06-I;2016M07-I;2016M08-I;2016M09-I;2016M10-I;2016M11-I;2016M12-I;2017M01-I;2017M02-I;2017M03-I;2017M04-I;2017M05-I;2017M06-I;2017M07-I;2017M08-I;2017M09-I;2017M10-I;2017M11-I;2017M12-I;2018M01-I;2018M02-I;2018M03-I;2018M04-I;2018M05-I;2018M06-I;2018M07-I;2018M08-I;2018M09-I;2018M10-I;2018M11-I;2018M12-I;2019M01-I;2019M02-I;2019M03-I;2019M04-I;2019M05-I;2019M06-I;2019M07-I;2019M08-I;2019M09-I;2019M10-I;2019M11-I;2019M12-I;2020M01-I;2020M02-I;2020M03-I;2020M04-I
Dominican Rep.;1154,60;1087,52;1348,75;1357,91;1430,07;1269,71;1359,33;1368,69;1301,23;1366,83;1336,69;1285,40;1116,37;1108,28;1232,50;1279,59;1283,51;1265,28;1294,08;1242,08;1192,30;1381,01;1295,78;1203,07;1074,12;1115,98;1367,06;1300,42;1296,56;1327,39;1377,33;1433,43;1461,75;1362,10;1474,50;1362,09;1272,50;1194,94;1515,03;1305,35;1281,71;1325,04;1310,20;1340,15;1207,61;1509,96;1518,35;1402,85;1314,63;1512,04;1421,20;1489,55;1548,23;1485,67;1652,78;1644,06;1539,86;1730,26;1545,18;1592,53;1465,46;1355,01;1698,78;1587,09;1584,28;1476,12;1597,99;1588,11;1595,70;1632,33;1611,69;1587,94;1415,27;1366,28;1441,09;985,80;1575,94;1436,23;2081,20;1789,11;1891,16;1982,14;1805,46;1971,33;2022,96;2239,84;2092,06;2297,89;600,30;704,16;766,36;712,63;759,20;779,96;769,37;784,76;731,73;932,11;722,52;752,66;614,35;652,19;695,20;701,74;791,62;758,06;776,94;758,61;707,86;754,40;677,83;618,06;541,36;715,04;788,47;698,79;749,44;818,66;770,07;863,66;775,27;789,35;829,06;677,46;574,99;635,76;796,85;734,83;810,90;817,67;735,04;799,74;731,51;796,26;833,80;742,38;711,80;715,47;790,21;749,78;879,91;811,76;871,32;831,67;773,32;888,46;783,32;778,06;781,90;824,85;906,36;811,33;868,03;901,28;876,53;866,30;870,75;927,27;884,77;838,43;699,65;860,70;837,99;604,47
Ecuador;1837,88;1493,77;1844,61;1874,91;2182,40;1923,50;2093,17;2164,14;2113,07;1994,72;1942,56;2093,70;1494,88;1687,32;1671,96;1429,33;1555,23;1691,58;1571,71;1603,28;1516,37;1507,68;1236,91;1384,30;1039,41;1028,58;1099,91;1031,23;1150,97;1160,64;1187,32;1303,64;1268,37;1311,76;1439,50;1391,90;1368,05;1169,23;1422,91;1401,00;1515,56;1467,11;1486,50;1645,99;1600,79;1652,82;1635,27;1851,74;1475,06;1558,35;1742,85;1743,42;1884,25;1810,90;1698,75;1943,76;1898,55;1961,21;1878,31;1631,17;1610,85;1469,62;1778,20;1703,51;1724,62;1617,32;1709,96;1697,24;1722,14;1798,18;1537,30;1702,90;1552,47;1421,07;1467,43;1000,92;1485,20;1405,29;1783,02;1817,52;1666,60;1914,00;2066,11;1922,49;1772,25;2046,41;2133,68;2256,09;2251,42;2384,35;2295,15;2373,09;2353,12;2131,52;2572,86;2896,01;2561,50;2412,61;1724,76;2154,13;1986,85;1532,05;1944,87;1527,12;1695,14;1979,92;1866,86;1799,39;1680,00;1586,39;1461,37;1524,22;1450,65;1327,49;1460,87;1421,12;1657,58;1537,72;1409,47;1589,20;1578,44;1466,47;1506,10;1644,05;1696,14;1672,82;1889,32;1741,10;1731,57;1570,08;1625,78;1571,70;1491,39;1634,39;1634,21;1891,90;1837,94;1593,01;1936,61;1995,92;1874,14;1711,44;2004,54;2142,55;1726,04;2000,58;2035,56;1930,12;1883,63;1796,13;1863,79;1916,70;2281,41;2054,12;2035,90;2255,24;1815,59;2031,07;2140,71;2298,16;2072,12;2082,74;2008,93;1555,62
El Salvador;768,43;657,28;772,42;695,90;747,10;660,72;744,33;724,24;656,51;712,73;692,35;641,51;650,11;642,86;703,84;699,14;726,65;660,33;729,09;751,57;693,52;708,88;758,42;686,57;602,52;639,30;679,17;622,43;678,22;664,75;648,43;678,37;664,43;695,49;695,25;726,75;660,21;599,86;749,26;668,73;681,96;707,90;690,56;698,96;685,84;747,08;709,98;729,92;690,71;700,49;772,26;817,74;774,74;844,79;863,91;795,42;786,41;835,94;813,74;890,48;782,33;688,56;815,57;830,26;822,06;751,17;853,15;778,40;892,99;856,55;841,42;777,60;809,67;746,43;743,04;540,48;872,38;859,50;1079,48;985,39;1008,30;1070,04;1155,17;1061,10;1119,79;1072,34;1114,04;1157,83;354,52;403,70;477,84;428,57;474,23;466,28;518,10;440,25;431,50;448,96;410,09;421,75;387,07;429,87;492,56;448,64;473,15;485,12;550,19;476,39;506,18;477,63;449,56;433,63;373,96;426,49;461,80;467,89;497,92;470,66;500,47;462,80;464,23;469,15;468,06;432,38;397,86;446,45;524,35;484,08;541,34;499,53;528,89;535,81;474,18;516,84;491,54;475,42;450,05;455,98;527,70;507,72;534,40;502,84;549,50;541,93;486,08;538,90;477,86;476,49;445,51;460,51;495,02;451,30;462,45;483,15;556,87;475,63;475,07;503,80;478,24;460,11;459,11;503,29;483,84;256,06
Falkland Islands (Malvinas);15,40;19,95;5,95;25,92;5,88;9,93;3,62;26,06;7,86;5,54;12,24;57,03;32,09;86,40;20,49;7,54;15,17;10,19;14,77;8,30;24,14;14,54;10,66;9,05;4,55;11,09;1,80;9,57;5,21;6,38;2,39;14,35;4,43;7,76;9,74;7,56;3,52;5,16;27,65;7,51;1,70;14,14;2,41;7,28;6,32;5,86;21,40;13,82;6,77;2,94;8,70;14,54;12,69;2,99;7,99;8,29;3,05;31,97;29,74;0,57;18,47;3,55;3,37;5,68;6,26;2,80;8,64;3,09;23,23;3,26;12,20;4,99;24,59;0,69;11,80;3,92;45,92;3,09;7,35;2,91;10,03;0,54;11,39;5,93;9,06;5,20;7,01;33,82;5,18;9,29;12,62;7,40;33,19;19,86;21,89;11,79;13,22;22,81;29,43;14,40;9,61;8,08;11,45;23,61;23,39;45,69;11,28;5,79;4,32;36,45;14,45;2,72;4,17;3,55;4,67;9,56;42,46;83,94;20,29;6,19;5,54;38,54;36,98;21,46;1,86;10,11;5,28;16,09;31,88;37,78;16,26;16,77;12,72;18,70;30,24;10,91;14,15;10,32;14,09;20,20;49,26;53,27;22,38;16,00;17,89;32,52;28,66;14,46;23,58;8,20;11,26;39,00;46,44;32,61;24,75;18,00;29,87;59,55;16,36;5,93;9,46;4,02;125,45;11,84
Greenland;36,42;35,76;56,35;74,47;86,87;121,16;111,41;88,54;69,67;60,91;73,02;37,33;25,89;41,45;39,68;61,28;47,63;85,41;51,71;64,02;78,88;55,96;65,27;35,68;35,10;33,87;48,70;55,94;61,74;82,98;44,63;61,37;94,79;53,93;69,33;90,04;40,72;33,25;77,57;61,00;54,00;68,96;75,77;80,87;76,46;66,02;74,58;38,29;36,09;34,08;47,88;68,70;57,07;80,92;73,19;101,87;58,14;74,52;82,27;96,51;41,76;38,63;123,74;72,54;133,14;55,70;101,23;79,01;121,12;77,11;80,96;104,41;35,35;43,33;57,04;104,74;41,84;41,48;83,37;52,89;92,73;80,17;101,91;91,43;73,76;143,26;125,77;46,18;41,94;40,43;57,63;52,39;47,73;71,36;65,03;63,38;76,82;74,29;62,40;79,26;52,88;56,35;45,72;47,83;51,93;69,58;71,16;68,07;83,15;78,01;69,09;77,76;56,66;62,43;61,24;64,66;73,05;67,73;81,66;83,72;87,11;74,34;104,32;71,80;51,42;61,32;68,37;55,03;83,15;75,45;88,02;118,43;98,08;86,25;86,25;111,94;70,57;78,59;82,21;83,92;74,56;87,13;97,40;95,09;89,24;111,42;99,58;88,13;62,11;73,33;92,82;94,14;98,01;129,03;115,80;95,67;113,42;129,71;129,46;128,11;78,60;92,31;126,20;83,40
Grenada;26,16;19,33;29,10;25,60;21,38;22,52;24,57;19,78;22,50;26,46;33,08;22,41;25,55;21,23;21,05;22,04;23,99;22,09;23,93;23,95;18,78;20,94;23,29;24,68;13,73;17,72;18,66;21,36;17,48;19,96;18,18;14,12;20,33;19,44;20,42;20,88;14,41;13,07;18,00;16,94;18,36;19,77;21,64;24,57;18,23;25,65;32,58;23,59;22,63;19,76;24,13;19,49;25,80;19,27;19,55;18,87;21,44;19,53;19,67;21,71;24,36;20,99;24,60;23,29;28,55;17,16;25,13;201,53;23,80;25,38;30,00;89,95;26,12;24,00;26,02;20,00;22,53;28,60;24,75;35,39;29,00;28,87;33,27;27,40;37,21;27,02;58,77;33,25;5,31;4,33;5,40;6,44;7,58;7,35;6,46;5,10;5,41;6,06;5,43;4,78;2,75;2,47;6,42;3,30;2,91;6,02;3,31;2,84;3,63;2,99;2,34;2,93;1,79;2,43;3,10;3,47;3,68;4,34;3,82;3,36;3,11;2,66;3,91;2,60;4,04;5,13;5,41;4,59;6,90;5,45;6,07;4,54;4,35;5,08;5,60;4,28;6,06;5,65;6,26;4,80;6,85;6,03;6,60;7,34;5,11;7,10;6,05;4,25;2,44;2,34;3,92;3,93;4,94;5,25;3,41;2,62;2,82;3,60;2,52;2,88;1,98;2,87;2,45;1,47
Guatemala;1088,72;1127,96;1217,03;1234,27;1247,32;1184,42;1261,14;1411,94;1264,01;1387,89;1204,51;1298,38;1115,98;1132,91;1239,38;1217,64;1277,39;1301,24;1334,31;1367,75;1328,27;1363,13;1274,96;1152,89;1148,11;1039,31;1275,73;1193,46;1258,06;1227,91;1259,82;1260,89;1215,09;1227,32;1227,24;1245,80;1254,61;1145,46;1346,36;1128,94;1301,29;1527,17;1553,51;1401,75;1263,46;1470,20;1460,81;1312,43;1288,48;1329,74;1323,51;1414,20;1466,93;1343,31;1433,11;1450,07;1388,70;1557,20;1418,39;1378,47;1316,61;1231,10;1472,84;1406,88;1467,78;1302,49;1499,69;1418,18;1471,78;1563,95;1566,02;1456,06;1357,53;1411,58;1441,86;1031,07;1524,68;1492,93;1874,77;1900,48;1855,20;1910,06;1990,79;1832,59;1889,81;2034,71;2137,11;2162,48;799,61;818,92;970,49;1014,24;1001,88;966,51;958,99;939,36;881,88;936,65;863,38;931,64;872,06;891,64;1022,62;967,61;969,76;1020,51;997,04;958,20;928,04;891,75;865,91;916,84;753,72;823,22;963,63;991,00;981,85;930,29;894,99;956,36;942,16;901,98;895,91;928,26;922,60;927,41;1126,22;979,36;1121,48;978,77;1000,41;1024,54;918,40;918,14;910,48;872,83;945,99;905,67;1011,21;1040,81;988,73;918,19;949,00;983,30;877,71;902,75;854,32;902,98;862,54;818,64;994,36;981,77;984,57;966,61;969,18;934,96;894,78;906,90;825,73;964,37;974,55;920,14;1101,36;908,39
Guyana;116,42;104,80;120,44;122,55;122,30;118,56;132,88;138,17;153,95;133,15;124,40;115,49;85,91;127,69;103,28;94,64;90,87;103,58;96,92;89,80;90,91;96,99;97,31;116,07;133,71;86,62;95,87;93,82;90,30;87,09;77,77;82,41;97,26;102,17;87,97;81,10;88,87;73,73;86,53;91,15;101,27;90,11;98,19;103,39;84,81;90,95;104,33;90,06;87,25;111,87;121,67;99,01;105,86;110,13;101,33;99,26;128,10;132,87;137,61;101,41;171,89;119,28;171,38;201,82;189,48;124,07;185,25;154,07;1067,51;179,28;138,18;126,73;174,21;147,30;148,71;172,12;345,45;370,11;396,21;451,53;514,38;464,23;471,00;498,10;478,25;423,58;490,28;483,66;105,75;105,57;147,45;113,67;147,13;118,94;148,12;136,18;125,72;135,97;140,75;131,64;96,26;104,62;106,05;114,09;122,21;89,64;102,40;108,13;94,97;127,18;96,53;135,00;116,06;132,08;139,83;127,04;145,51;130,73;112,42;148,94;90,32;123,89;130,42;147,68;118,61;101,42;136,13;126,40;154,57;120,12;126,47;119,97;141,20;122,54;148,04;156,95;126,94;111,01;134,17;136,94;154,12;129,75;114,73;134,85;113,11;134,73;118,76;160,79;126,94;119,33;140,65;102,17;150,26;131,42;136,76;114,15;119,80;135,02;106,88;135,02;150,59;263,05;173,45;194,84
Haiti;321,39;297,01;379,96;362,59;377,43;341,88;358,41;343,56;331,55;353,04;363,34;347,19;291,11;290,31;357,97;376,09;365,76;350,75;356,82;310,56;331,01;302,75;322,33;296,95;248,42;264,28;318,12;277,48;311,51;328,12;299,88;337,12;308,13;320,14;309,83;309,29;318,13;290,34;360,36;371,41;362,95;379,46;386,65;372,28;367,60;370,37;379,11;417,17;355,35;338,71;353,60;390,77;409,94;409,04;403,19;397,45;382,17;364,68;423,90;352,09;312,49;263,49;361,25;353,83;362,56;313,22;326,54;325,68;308,12;255,67;244,93;289,02;272,40;304,86;344,97;274,00;397,85;320,94;365,05;382,06;359,92;383,33;331,82;431,65;345,21;423,48;391,12;467,82;58,86;85,31;82,87;84,66;92,74;98,14;91,60;101,88;101,79;107,66;86,32;85,19;64,11;84,26;98,07;103,23;96,86;105,72;107,88;103,32;99,80;100,02;95,68;88,65;62,42;97,75;94,08;93,84;104,01;94,06;98,19;108,71;104,17;90,52;84,30;78,69;73,43;87,51;100,92;107,31;96,44;91,52;96,35;106,84;87,30;102,11;100,41;87,41;72,92;92,41;97,53;102,61;101,84;98,09;113,77;113,42;98,93;127,70;101,73;110,16;87,29;84,70;124,97;125,34;119,81;91,62;144,53;113,19;100,65;120,70;103,87;114,35;78,31;97,69;106,48;47,98
Honduras;795,60;819,73;1034,88;906,20;975,36;990,31;927,50;909,33;899,02;955,14;922,45;878,43;890,51;879,07;929,16;878,25;939,61;890,62;895,64;888,07;808,18;917,35;831,79;777,06;781,85;761,57;844,57;802,91;836,61;833,30;851,24;829,60;881,34;810,52;845,98;783,19;755,05;777,55;948,48;800,15;942,15;844,65;930,91;927,49;850,23;901,60;983,79;797,73;827,08;875,99;906,86;1012,96;991,57;973,73;997,89;944,71;902,66;1059,85;990,96;894,57;1066,21;859,22;994,22;942,67;945,57;891,34;964,58;989,28;906,79;1008,70;1026,80;852,44;883,15;912,86;892,75;516,14;976,23;1007,60;1182,95;1158,31;1234,54;1161,50;1350,99;1321,08;1296,77;1295,76;1353,15;1355,38;579,98;674,75;769,60;731,92;755,17;787,21;815,56;726,29;731,73;737,85;606,61;672,83;578,43;741,64;823,53;757,67;771,79;822,23;775,50;720,60;692,96;627,70;618,97;615,28;541,32;712,65;758,60;713,04;743,81;804,68;724,45;757,07;658,28;592,51;674,15;607,27;594,81;721,24;817,93;721,22;824,18;801,04;794,97;770,01;694,91;660,07;734,44;579,09;689,13;747,37;779,64;768,13;826,06;768,41;784,70;787,44;727,88;712,74;715,70;660,23;628,63;738,75;844,63;809,61;861,07;796,84;838,03;783,35;774,63;728,27;716,28;713,37;673,95;769,55;774,88;477,91
Jamaica;464,18;366,49;493,22;457,46;403,08;467,06;445,87;483,17;459,46;448,69;408,41;441,21;361,13;296,27;325,58;341,88;387,84;349,03;374,94;314,47;355,83;345,94;357,67;325,64;307,02;292,08;313,82;338,26;342,85;338,16;378,42;342,72;383,80;360,90;359,51;335,25;377,06;350,86;413,33;376,72;442,31;465,08;434,65;375,86;369,28;437,56;488,61;425,07;372,99;391,43;483,58;548,92;522,23;433,83;469,63;465,91;415,58;480,86;563,32;484,15;486,10;356,06;493,71;496,00;472,77;446,35;411,37;408,93;428,14;434,39;451,18;440,02;372,27;457,58;487,61;306,39;344,59;324,62;404,13;416,91;431,16;380,67;435,99;477,38;503,44;450,99;475,93;435,23;109,39;89,78;114,21;124,29;108,53;86,53;115,53;95,95;139,22;84,51;85,82;133,38;91,80;116,38;112,67;107,67;122,40;126,27;94,95;102,23;106,96;102,56;91,82;112,57;70,96;83,32;79,48;104,44;95,41;88,45;103,98;79,19;74,88;80,44;89,37;102,77;88,46;74,44;153,23;88,50;91,90;86,89;124,70;92,81;117,09;85,06;117,93;100,46;102,57;98,14;147,59;100,07;121,19;154,27;131,14;144,54;103,60;122,05;200,19;99,33;156,65;87,13;152,03;172,04;125,66;133,70;135,17;97,81;115,96;117,07;75,35;99,65;85,29;96,52;100,53;94,51
Mexico;29048,36;27059,13;30428,49;30787,86;31835,68;30601,19;32830,02;31209,45;31024,23;33971,42;30711,53;29435,08;28732,38;27668,75;30591,06;31189,03;30605,64;31444,47;33187,71;30792,58;30812,32;32617,84;28818,25;29224,33;27148,08;27145,63;29577,97;29654,74;29601,06;30742,73;29627,45;32248,13;31678,30;31512,07;30768,29;30155,51;29861,82;27775,13;32826,02;29979,22;31903,81;33703,51;32290,00;34008,64;33319,79;34329,15;33841,13;32115,22;33502,41;31252,65;34487,83;35397,66;36011,85;36157,26;36900,21;36608,31;34858,11;38927,16;36332,91;32254,18;34743,77;31224,23;34710,79;35027,51;36093,53;33170,52;36407,14;35677,74;34488,14;35809,01;33133,67;31958,66;32382,55;29675,32;32188,54;21751,02;33220,41;33503,92;38137,97;37601,88;37466,63;40608,81;41448,69;41128,31;39649,53;40872,92;41102,47;41747,90;30926,40;30976,79;34911,31;35034,50;35616,44;35619,47;35965,58;34268,29;35128,17;37647,15;33793,93;33519,14;30752,08;30445,44;35399,55;34004,90;33437,89;36023,71;33989,27;33565,56;34271,08;36997,74;32924,39;31680,19;30202,86;31062,90;34023,01;34034,34;33511,88;34045,58;31906,30;34759,06;34380,36;35853,39;35385,81;32969,74;32273,25;32560,70;38198,97;34813,88;36945,14;37271,35;34352,11;37481,11;36092,11;39897,81;39208,35;36196,97;36881,60;36380,32;41647,36;39788,74;41056,39;41573,43;40147,08;41935,73;39458,60;43710,20;41020,40;37221,27;38774,58;37385,49;42778,59;41958,75;43543,46;41279,71;41540,82;41603,78;40122,02;42707,08;39853,96;38442,94;38899,44;38350,52;40736,88;23982,60
Montserrat;0,46;0,52;0,60;2,78;2,58;1,68;2,72;1,38;2,18;0,77;0,91;0,34;0,44;0,63;0,73;0,50;1,42;0,59;0,86;0,64;0,90;0,67;0,71;0,94;0,69;0,50;10,64;0,58;7,98;0,57;0,49;0,48;1,28;0,49;4,94;2,09;1,55;0,78;0,51;0,57;1,26;1,52;2,05;1,66;1,60;1,96;1,37;1,88;1,49;3,99;6,26;1,39;4,76;1,14;1,20;2,66;1,37;4,07;2,46;3,31;1,70;2,47;1,25;1,92;2,46;2,03;1,78;2,21;1,46;1,49;1,99;1,72;1,03;3,46;2,70;2,01;1,69;1,50;2,57;1,64;0,79;1,27;1,48;1,88;1,31;1,06;1,45;1,25;0,15;0,22;0,13;0,12;0,13;0,10;0,09;0,13;0,08;0,16;0,17;0,32;0,10;0,14;0,15;0,17;0,15;0,15;0,20;0,14;0,18;0,37;0,34;0,23;0,17;0,22;0,13;0,27;0,29;0,27;0,46;0,47;0,26;0,38;0,45;0,42;1,01;0,51;0,83;0,60;7,81;4,26;2,90;1,25;0,73;1,21;1,41;2,05;27,18;0,56;0,68;0,72;0,91;0,91;0,59;0,52;0,67;1,66;0,85;0,64;0,94;1,30;0,85;0,95;0,67;0,52;1,88;0,67;0,79;0,79;0,61;0,90;0,70;1,46;0,63;0,42
Netherlands Antilles;951,92;877,12;791,27;977,70;794,77;767,20;843,04;734,58;668,72;744,57;578,13;779,45;521,34;410,24;452,98;474,90;409,65;470,43;499,09;376,75;354,26;419,28;388,40;386,81;323,48;298,76;385,88;426,37;406,95;339,98;317,76;352,00;348,73;333,59;263,58;256,03;315,63;280,29;307,52;278,42;298,32;241,41;241,73;265,74;260,30;234,27;259,47;218,52;240,20;214,69;312,98;317,56;255,16;313,50;327,67;300,31;325,56;297,47;293,88;258,50;255,24;157,50;95,58;93,06;80,24;59,81;60,28;71,80;75,36;70,20;44,83;51,48;42,12;74,89;33,62;22,38;19,83;22,89;26,84;27,83;24,56;28,71;39,54;36,64;32,27;38,91;38,83;54,06;164,35;164,16;81,58;264,52;211,03;130,08;394,89;79,00;99,16;129,42;107,51;161,19;75,05;84,64;95,76;100,77;83,93;89,64;103,37;73,31;99,35;68,21;101,97;75,13;71,19;85,10;103,75;100,88;64,97;58,61;122,83;68,34;57,47;57,40;41,41;44,95;56,54;174,66;111,98;76,11;105,12;101,17;198,21;103,83;173,31;126,66;49,80;72,51;68,45;77,91;137,51;132,21;124,58;72,66;73,01;83,01;85,19;73,89;90,92;70,27;56,24;55,03;81,70;96,51;94,87;58,21;86,74;58,59;50,94;66,98;66,29;77,21;52,18;49,77;67,39;66,92
Nicaragua;430,28;403,37;487,80;478,60;492,67;485,06;509,14;476,85;471,23;540,08;478,99;507,25;441,99;435,33;497,66;488,31;508,84;541,80;528,70;491,35;541,21;576,15;469,91;504,99;493,79;454,87;525,74;477,64;566,77;560,17;506,21;510,32;529,09;467,46;535,71;478,33;461,37;430,25;560,29;485,07;512,30;507,25;515,63;510,51;518,13;540,66;616,88;516,80;495,86;499,48;565,67;596,58;519,62;379,68;344,07;434,82;449,09;461,19;468,75;429,34;432,55;380,78;485,98;458,01;451,43;451,44;476,39;430,55;441,96;478,82;469,65;439,35;400,34;421,75;523,18;351,40;487,10;526,04;591,16;584,12;607,82;680,51;656,20;669,42;599,83;672,19;590,03;675,32;402,28;430,54;478,73;474,06;491,23;482,15;513,13;521,18;511,54;514,18;454,52;458,68;393,03;420,35;497,30;466,88;434,97;464,27;504,84;496,05;537,61;484,94;439,77;420,85;387,36;465,08;488,66;473,68;498,22;504,38;452,05;561,60;512,48;470,92;451,10;436,68;366,83;445,86;499,06;453,35;502,02;481,27;462,48;505,45;455,22;468,41;462,91;410,85;439,81;466,57;526,65;505,40;529,61;412,22;493,39;556,44;485,68;502,47;466,14;448,21;426,62;437,49;507,46;492,42;550,05;507,73;574,19;562,26;536,21;550,85;509,71;504,27;491,42;505,35;560,91;388,01
Panama;4134,25;3947,17;5202,41;4350,32;4622,91;5057,99;4573,63;4113,08;4486,44;5451,84;4030,87;3878,94;3651,20;3171,68;3381,19;3498,35;3716,58;3649,24;3475,81;3343,47;3255,45;3844,97;2872,05;2681,53;2879,22;2629,52;3067,17;2684,84;2699,09;3195,10;2802,51;3063,67;3377,12;2642,12;3010,36;2882,41;3582,81;2512,77;3837,88;3113,40;3214,74;3178,10;3150,17;2831,49;3451,36;3217,62;3319,73;3241,62;3732,20;2984,29;3408,70;3377,67;3483,33;3575,77;3750,62;4991,19;3673,50;4320,83;3475,57;2950,04;4414,28;3228,91;3761,90;3642,40;3355,03;3615,07;3091,35;3795,13;3524,88;3749,02;3110,79;3563,34;3099,68;2619,22;2768,73;2813,18;3467,12;3119,93;3661,05;3195,02;3574,34;3537,86;3994,55;3750,80;3594,38;3912,64;4076,02;3831,10;540,94;756,25;548,34;670,35;578,93;582,77;649,99;578,64;736,35;965,20;709,89;577,32;476,32;577,17;618,88;655,90;727,46;524,94;686,76;618,18;478,72;716,30;587,40;575,09;432,47;451,04;560,34;519,65;570,96;482,95;622,68;529,24;433,44;726,92;624,89;615,81;426,69;558,16;768,02;522,55;803,61;498,88;608,15;617,50;641,41;603,26;657,71;597,40;672,51;376,25;704,83;652,86;675,96;544,35;500,32;624,60;604,89;833,06;443,01;411,02;440,93;520,72;428,03;558,29;589,28;386,43;566,21;638,08;702,17;544,56;493,58;634,34;514,83;477,15;488,13;394,85
Paraguay;827,17;727,74;856,51;775,73;972,84;858,32;1001,37;937,52;931,64;892,97;890,68;899,23;730,82;680,35;728,02;722,96;711,08;771,11;818,32;754,02;728,74;725,75;640,42;661,98;509,32;523,90;615,24;636,40;679,16;684,95;808,73;779,04;808,58;814,28;795,04;880,52;735,66;735,21;894,77;862,58;954,67;813,21;951,84;981,57;931,81;906,74;907,64;973,58;862,61;842,75;964,31;985,24;875,53;923,82;942,01;965,53;828,82;906,84;862,24;942,51;759,03;722,87;845,66;737,32;757,34;760,21;829,12;801,68;725,82;772,97;807,96;839,02;640,90;632,49;621,98;391,93;699,39;741,56;830,26;787,39;953,79;936,67;1097,51;883,20;928,00;976,97;1019,05;944,41;439,21;454,13;601,47;758,85;735,76;815,30;809,03;661,97;844,98;707,37;517,25;556,67;408,69;400,33;582,59;616,33;547,71;445,90;552,56;557,07;562,97;531,44;481,48;474,94;376,04;390,49;510,90;599,54;612,48;581,70;645,47;683,22;668,19;606,63;569,66;487,80;396,57;401,99;583,01;564,11;724,44;662,68;628,33;600,89;591,60;630,79;589,85;531,60;426,91;560,51;819,22;778,04;700,35;681,12;600,61;638,30;488,53;628,34;563,16;521,86;489,13;566,36;598,19;570,41;617,97;541,79;541,33;532,32;496,56;523,60;552,63;460,81;435,48;598,94;622,22;389,22
Peru;3096,35;2837,52;3174,12;3210,75;3213,70;3116,41;3449,54;3233,18;3087,34;3162,02;3190,79;3218,96;2850,12;2725,66;2809,46;2866,35;3036,16;3108,79;3064,27;2773,64;2901,12;3027,44;2921,69;3185,55;2414,94;2376,83;2580,90;2593,16;2604,08;2799,24;2589,13;2880,74;3096,86;2847,30;2943,37;2989,71;2672,67;2470,93;3286,43;2757,53;3039,20;3006,41;3059,69;3108,54;3155,02;3171,93;3247,07;3118,44;3017,01;3021,88;3477,19;3365,09;3162,81;3272,18;3330,46;3311,59;3157,84;3518,59;3142,19;2984,17;3215,19;2721,52;3137,94;3296,50;3467,81;3122,13;3422,75;3295,20;3265,55;3443,12;3061,02;3204,34;3101,59;2803,52;2909,93;2088,47;3651,63;3241,46;4072,00;3824,16;3767,02;3948,41;3837,05;4183,13;3997,51;3918,77;4198,46;4748,81;3515,31;3401,72;3500,11;3538,54;3018,14;3149,48;3404,37;3189,23;3812,11;3540,07;3158,64;3739,34;3236,30;2842,08;2881,80;3025,61;2592,02;2791,98;3171,92;2966,26;3078,81;2840,79;2740,09;3361,00;2900,31;2957,11;2819,57;2742,22;3152,57;2997,61;2918,97;3105,21;3454,82;3067,98;3858,60;3961,62;3742,45;3355,91;3954,13;3462,07;3347,92;3618,88;3688,52;4050,40;3899,29;4048,10;4166,64;4242,16;4593,35;3675,52;4297,73;4061,29;4237,97;4132,24;4728,68;4106,42;4325,94;4091,99;4034,65;3821,50;4448,57;3986,70;4151,10;3741,80;4355,20;3352,73;4624,52;4132,43;3547,91;4545,79;4187,25;4487,86;4828,95;4073,60;3627,20;3278,28
